Repetition,Max_CPU_Usage_us
1,4.8
1,3.0
2,23.4
2,16.6
3,8.7
3,17.5
4,7.7
4,29.0
5,3.2
5,30.6
6,1.6
6,33.3
7,0.2
7,1.6
8,0.5
8,1.6
9,8.2
9,1.6
10,1.6
10,3.2
11,0.2
11,3.1
12,1.6
12,1.6
13,1.6
13,1.6
14,0.2
14,3.2
15,1.6
15,1.6
16,1.6
16,0.5
17,0.2
17,3.2
18,0.5
18,1.6
19,19.7
19,9.8
20,10.2
20,21.9
21,13.7
21,0.5
22,1.6
22,0.2
23,1.6
23,0.2
24,0.5
24,0.2
25,0.5
25,0.2
26,0.5
26,2.0
27,4.9
27,0.5
28,0.7
28,0.2
29,1.6
29,0.2
30,1.6
30,0.2
1,0.2
1,1.6
2,1.6
2,25.8
3,1.6
3,25.4
4,1.6
4,25.4
5,1.6
5,24.6
6,1.6
6,35.5
7,0.5
7,3.2
8,1.6
8,8.2
9,0.2
9,6.6
10,1.6
10,9.7
11,1.6
11,4.9
12,0.2
12,6.3
13,1.6
13,9.7
14,3.0
14,27.9
15,13.2
15,9.8
16,0.5
16,6.5
17,1.6
17,9.7
18,1.6
18,4.8
19,0.5
19,9.7
20,1.6
20,4.9
21,1.6
21,6.5
22,0.5
22,6.5
23,0.5
23,9.5
24,0.5
24,6.5
25,1.6
25,9.7
26,0.5
26,8.2
27,1.6
27,8.1
28,0.5
28,8.1
29,1.6
29,8.1
30,1.6
30,8.1
1,0.2
1,1.6
2,1.6
2,25.0
3,0.5
3,26.2
4,0.2
4,24.6
5,0.5
5,24.6
6,0.2
6,57.1
7,1.6
7,9.7
8,1.6
8,11.5
9,1.6
9,11.1
10,0.5
10,14.8
11,0.5
11,13.1
12,0.5
12,11.5
13,1.6
13,14.8
14,0.5
14,11.3
15,0.5
15,16.4
16,1.6
16,9.5
17,0.5
17,14.5
18,1.6
18,14.5
19,0.5
19,11.5
20,1.6
20,11.5
21,0.2
21,11.3
22,0.2
22,12.7
23,1.6
23,14.8
24,0.5
24,11.3
25,0.5
25,9.7
26,1.6
26,4.8
27,1.6
27,9.8
28,0.5
28,8.1
29,1.6
29,11.3
30,0.5
30,11.3
1,0.2
1,76.2
2,1.6
2,26.2
3,1.6
3,24.6
4,0.2
4,24.2
5,0.5
5,25.4
6,1.6
6,52.4
7,0.5
7,11.5
8,0.5
8,19.4
9,1.6
9,17.5
10,0.2
10,16.1
11,1.6
11,19.0
12,0.5
12,19.4
13,1.6
13,16.4
14,0.5
14,18.0
15,0.2
15,17.7
16,0.5
16,19.4
17,0.2
17,19.4
18,1.6
18,20.3
19,1.6
19,17.7
20,1.6
20,19.7
21,0.5
21,19.4
22,0.2
22,20.6
23,0.2
23,15.9
24,1.6
24,19.7
25,0.2
25,19.0
26,1.6
26,19.0
27,0.2
27,16.1
28,0.2
28,18.0
29,1.6
29,19.4
30,1.6
30,19.4
1,0.5
1,11.3
2,0.2
2,25.8
3,1.6
3,24.6
4,1.6
4,26.2
5,1.6
5,25.8
6,1.6
6,1.6
7,0.5
7,21.0
8,0.5
8,25.0
9,1.6
9,25.8
10,0.5
10,25.8
11,0.5
11,24.6
12,0.5
12,24.6
13,0.5
13,25.8
14,0.5
14,23.8
15,0.5
15,25.8
16,0.5
16,24.2
17,1.6
17,25.0
18,0.5
18,24.6
19,0.5
19,25.8
20,1.6
20,22.6
21,0.5
21,24.2
22,0.5
22,21.7
23,1.6
23,20.0
24,1.6
24,19.7
25,1.6
25,21.3
26,1.6
26,18.0
27,0.5
27,22.6
28,1.6
28,20.6
29,1.6
29,21.0
30,1.6
30,22.6
1,1.6
1,12.9
2,1.6
2,25.4
3,1.6
3,24.6
4,0.2
4,25.4
5,1.6
5,25.8
6,0.5
6,0.2
7,0.5
7,25.8
8,0.5
8,24.2
9,1.6
9,25.4
10,0.5
10,25.8
11,1.6
11,25.8
12,0.5
12,24.2
13,0.5
13,24.6
14,0.5
14,24.2
15,1.6
15,25.8
16,1.6
16,25.0
17,1.6
17,25.4
18,1.6
18,23.4
19,1.6
19,24.6
20,0.5
20,25.4
21,0.5
21,25.8
22,0.5
22,25.8
23,0.5
23,24.6
24,3.3
24,25.4
25,1.6
25,25.4
26,1.6
26,24.6
27,1.6
27,25.8
28,1.6
28,24.2
29,0.5
29,25.8
30,0.5
30,25.4
1,1.6
1,8.1
2,0.2
2,25.4
3,1.6
3,26.2
4,0.5
4,25.8
5,1.6
5,26.2
6,0.5
6,74.2
7,0.2
7,24.6
8,1.6
8,25.4
9,1.6
9,24.6
10,0.5
10,25.0
11,1.6
11,26.2
12,0.2
12,25.4
13,0.5
13,25.8
14,1.6
14,24.6
15,0.2
