Repetition,Max_CPU_Usage_us
1,1.6
1,7.7
2,9.1
2,23.3
3,54.0
3,13.1
4,19.9
4,19.0
5,11.3
5,24.0
6,1.6
6,0.2
7,1.6
7,11.5
8,11.9
8,0.2
9,4.9
9,0.2
10,3.3
10,1.6
11,4.8
11,0.2
12,4.8
12,1.6
13,3.3
13,0.2
14,3.2
14,0.2
15,4.8
15,0.7
16,61.3
16,83.6
17,12.7
17,14.2
18,16.4
18,34.9
19,8.1
19,7.4
20,33.9
20,1.6
21,4.8
21,1.6
22,6.3
22,1.6
23,4.9
23,6.0
24,4.8
24,1.6
25,9.7
25,3.2
26,6.5
26,1.6
27,6.5
27,29.0
28,4.8
28,1.6
29,6.5
29,1.6
30,5.0
30,1.6
1,3.3
1,0.2
2,4.8
2,0.2
3,8.1
3,1.6
4,6.5
4,0.2
5,4.9
5,0.2
6,6.3
6,0.2
7,6.6
7,0.2
8,4.8
8,0.2
9,4.9
9,0.2
10,4.9
10,0.2
11,8.1
11,0.0
12,1.6
12,3.0
13,20.6
13,0.2
14,1.6
14,1.6
15,1.6
15,0.0
16,1.6
16,0.2
17,1.6
17,1.6
18,1.6
18,0.2
19,1.6
19,1.6
20,1.6
20,0.2
21,1.6
21,0.2
22,1.6
22,0.2
23,0.2
23,0.2
24,1.6
24,1.6
25,1.6
25,0.2
26,0.2
26,0.2
27,1.6
27,0.3
28,0.2
28,0.0
29,0.2
29,0.2
30,1.6
30,0.2
