Repetition,Max_CPU_Usage_us
3,1.6
3,1.6
4,1.6
4,1.6
1,1.6
1,1.6
2,1.6
2,0.5
5,1.6
5,1.6
8,0.5
8,1.6
6,1.6
6,0.5
7,1.6
7,1.6
9,3.2
9,3.2
12,1.6
12,3.2
10,1.6
10,1.6
11,1.6
11,1.6
14,3.2
14,3.2
13,3.2
13,3.2
15,1.6
15,1.6
16,3.2
16,3.2
17,1.6
17,1.6
19,1.6
19,1.6
18,1.6
18,1.6
20,1.6
20,1.6
21,4.8
21,1.6
24,0.2
24,1.6
22,3.2
22,1.6
23,1.6
23,1.6
25,3.2
25,3.2
26,1.6
26,0.5
27,0.5
27,1.6
28,0.5
28,1.6
29,3.2
29,1.6
30,1.6
30,1.6
2,1.6
2,1.6
3,3.1
3,17.7
4,3.1
4,27.0
1,3.1
1,1.6
5,4.8
5,34.9
6,3.2
6,25.4
7,4.7
7,1.6
8,4.7
8,0.5
9,3.2
9,38.1
10,3.2
10,28.1
11,5.0
11,3.2
12,5.0
12,1.6
13,4.8
13,47.6
14,3.3
14,27.4
15,4.5
15,1.6
16,5.0
16,0.7
17,4.8
17,45.2
18,3.2
18,24.2
19,5.0
19,3.2
20,6.0
20,1.6
21,3.2
21,47.6
22,1.7
22,30.6
23,4.7
23,1.6
24,5.0
24,1.6
25,1.6
25,57.1
26,3.3
26,38.7
28,6.7
28,1.6
27,6.7
27,3.2
29,1.7
29,12.9
30,1.7
30,0.2
