Repetition,Max_CPU_Usage_us
3,9.5
1,9.5
2,9.8
4,9.8
1,3.2
4,1.6
2,3.2
3,3.2
5,17.9
8,18.2
6,18.4
7,18.4
5,15.9
8,13.2
6,13.2
7,13.2
9,18.0
10,18.1
12,18.2
11,18.4
9,24.2
10,20.1
12,20.1
11,20.1
13,20.6
14,12.9
16,12.7
15,11.3
13,24.2
14,8.3
15,4.8
16,3.3
17,10.0
18,9.7
19,6.5
20,6.2
17,39.7
18,11.7
20,6.2
19,6.2
21,9.8
22,10.9
23,4.8
24,4.8
21,44.3
22,11.3
24,3.1
23,3.2
25,9.7
26,8.1
28,6.3
27,6.2
25,41.9
26,14.3
28,3.3
27,1.6
29,8.2
30,6.3
29,12.7
30,3.2
2,7.9
3,7.8
4,7.9
1,7.9
1,79.4
4,53.2
3,28.6
2,2.2
5,4.8
6,9.7
7,20.1
8,79.8
5,79.7
6,56.5
7,29.2
9,33.9
8,18.0
10,21.1
11,57.8
12,79.6
9,82.3
10,56.4
13,60.3
11,30.6
12,28.2
14,27.9
15,54.2
16,70.6
14,79.7
13,58.1
15,29.0
17,30.2
18,26.2
16,26.2
19,54.1
20,78.6
17,81.4
18,57.1
21,56.5
19,28.7
22,29.5
20,48.8
23,54.3
24,79.6
21,81.4
25,81.5
22,77.8
23,55.6
24,28.1
26,27.9
27,46.4
28,78.9
25,81.1
29,81.4
27,67.2
28,56.5
26,28.0
30,30.6
29,28.2
30,0.2
