Repetition,Max_CPU_Usage_us
4,1.6
2,1.6
3,1.6
1,1.6
3,1.6
4,1.6
1,0.2
2,1.6
5,1.6
6,1.6
8,1.6
7,1.6
5,3.2
6,1.6
8,0.5
7,0.5
9,3.2
10,3.2
11,0.5
12,0.5
9,1.6
10,0.5
11,1.6
12,1.6
13,4.9
14,3.2
15,1.6
16,1.6
13,3.2
14,1.6
15,1.6
16,1.6
17,4.8
18,4.8
19,1.6
20,1.6
17,7.9
18,8.1
20,1.6
19,1.6
22,3.2
21,3.2
23,1.6
24,1.6
21,6.3
22,6.3
23,0.5
24,0.5
26,3.3
25,3.3
27,1.6
28,1.6
25,7.9
26,7.9
27,1.6
28,3.2
29,1.6
30,1.6
30,0.2
29,0.2
1,1.6
3,0.5
2,1.6
4,1.6
1,30.6
2,25.8
4,21.0
3,1.6
5,3.2
6,1.6
7,1.6
8,6.7
6,29.0
5,19.0
7,6.5
8,1.6
9,4.9
10,3.3
11,3.3
12,3.0
10,18.8
9,17.5
11,8.2
12,1.6
14,3.3
13,3.2
15,1.6
16,1.6
13,11.1
15,4.8
14,6.2
16,1.6
17,3.3
19,1.6
18,1.6
20,1.6
17,47.6
18,12.9
20,4.8
19,0.5
21,3.2
22,4.7
23,3.2
24,3.2
21,28.6
22,20.6
23,8.1
24,0.7
25,4.8
26,3.3
27,3.2
28,4.2
25,27.0
26,21.0
27,11.3
28,1.6
29,3.3
30,3.2
29,6.6
30,0.2
1,1.6
4,1.6
2,1.6
3,1.6
4,76.2
2,50.0
1,25.6
5,17.0
6,19.5
7,38.3
3,75.2
8,77.4
5,76.2
6,30.2
7,25.2
9,11.3
8,2.0
10,18.1
11,39.3
12,75.2
9,54.0
10,48.4
11,25.8
12,1.6
13,1.6
14,8.2
15,50.5
16,74.8
13,75.1
16,50.8
14,26.2
15,1.2
17,1.6
18,25.2
19,38.6
20,75.1
17,74.9
18,37.1
19,24.6
21,25.8
20,12.7
22,25.6
23,27.1
24,65.3
21,74.8
25,75.8
23,50.0
22,25.4
24,25.6
26,26.1
27,50.1
28,51.7
25,75.3
29,75.3
26,50.1
27,34.9
28,25.7
30,27.0
29,25.4
30,1.6
