Repetition,Max_CPU_Usage_us
4,1.6
4,1.6
2,1.6
2,1.6
3,1.6
3,1.6
1,1.6
1,0.2
5,1.6
5,3.2
6,1.6
6,1.6
8,1.6
8,0.5
7,1.6
7,0.5
9,3.2
9,1.6
10,3.2
10,0.5
11,0.5
11,1.6
12,0.5
12,1.6
13,4.9
13,3.2
14,3.2
14,1.6
15,1.6
15,1.6
16,1.6
16,1.6
17,4.8
17,7.9
18,4.8
18,8.1
19,1.6
19,1.6
20,1.6
20,1.6
22,3.2
22,6.3
21,3.2
21,6.3
23,1.6
23,0.5
24,1.6
24,0.5
26,3.3
26,7.9
25,3.3
25,7.9
27,1.6
27,1.6
28,1.6
28,3.2
29,1.6
29,0.2
30,1.6
30,0.2
1,1.6
1,30.6
3,0.5
3,1.6
2,1.6
2,25.8
4,1.6
4,21.0
5,3.2
5,19.0
6,1.6
6,29.0
7,1.6
7,6.5
8,6.7
8,1.6
9,4.9
9,17.5
10,3.3
10,18.8
11,3.3
11,8.2
12,3.0
12,1.6
14,3.3
14,6.2
13,3.2
13,11.1
15,1.6
15,4.8
16,1.6
16,1.6
17,3.3
17,47.6
19,1.6
19,0.5
18,1.6
18,12.9
20,1.6
20,4.8
21,3.2
21,28.6
22,4.7
22,20.6
23,3.2
23,8.1
24,3.2
24,0.7
25,4.8
25,27.0
26,3.3
26,21.0
27,3.2
27,11.3
28,4.2
28,1.6
29,3.3
29,6.6
30,3.2
30,0.2
1,1.6
1,25.6
4,1.6
4,76.2
2,1.6
2,50.0
3,1.6
3,75.2
5,17.0
5,76.2
6,19.5
6,30.2
7,38.3
7,25.2
8,77.4
8,2.0
9,11.3
9,54.0
10,18.1
10,48.4
11,39.3
11,25.8
12,75.2
12,1.6
13,1.6
13,75.1
14,8.2
14,26.2
15,50.5
15,1.2
16,74.8
16,50.8
17,1.6
17,74.9
18,25.2
18,37.1
19,38.6
19,24.6
20,75.1
20,12.7
21,25.8
21,74.8
22,25.6
22,25.4
23,27.1
23,50.0
24,65.3
24,25.6
25,75.8
25,75.3
26,26.1
26,50.1
27,50.1
27,34.9
28,51.7
28,25.7
29,75.3
29,25.4
30,27.0
30,1.6
