Repetition,Max_CPU_Usage_us
3,9.5
3,3.2
1,9.5
1,3.2
2,9.8
2,3.2
4,9.8
4,1.6
5,17.9
5,15.9
8,18.2
8,13.2
6,18.4
6,13.2
7,18.4
7,13.2
9,18.0
9,24.2
10,18.1
10,20.1
12,18.2
12,20.1
11,18.4
11,20.1
13,20.6
13,24.2
14,12.9
14,8.3
16,12.7
16,3.3
15,11.3
15,4.8
17,10.0
17,39.7
18,9.7
18,11.7
19,6.5
19,6.2
20,6.2
20,6.2
21,9.8
21,44.3
22,10.9
22,11.3
23,4.8
23,3.2
24,4.8
24,3.1
25,9.7
25,41.9
26,8.1
26,14.3
28,6.3
28,3.3
27,6.2
27,1.6
29,8.2
29,12.7
30,6.3
30,3.2
2,7.9
2,2.2
3,7.8
3,28.6
4,7.9
4,53.2
1,7.9
1,79.4
5,4.8
5,79.7
6,9.7
6,56.5
7,20.1
7,29.2
8,79.8
8,18.0
9,33.9
9,82.3
10,21.1
10,56.4
11,57.8
11,30.6
12,79.6
12,28.2
13,60.3
13,58.1
14,27.9
14,79.7
15,54.2
15,29.0
16,70.6
16,26.2
17,30.2
17,81.4
18,26.2
18,57.1
19,54.1
19,28.7
20,78.6
20,48.8
21,56.5
21,81.4
22,29.5
22,77.8
23,54.3
23,55.6
24,79.6
24,28.1
25,81.5
25,81.1
26,27.9
26,28.0
27,46.4
27,67.2
28,78.9
28,56.5
29,81.4
29,28.2
30,30.6
30,0.2
